16231@1772032195.702009:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.702012:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.702018:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.717835:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.717838:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.717844:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.733795:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.733798:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032195.733804:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.751655:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.751659:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.751669:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.765527:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.765530:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.765536:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.781403:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.781406:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.781412:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.380317:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.380325:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032196.380331:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.405500:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.405504:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032196.405510:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.420830:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032196.420833:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032196.420839:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032196.453100:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032196.453103:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032196.453109:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032196.494477:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032196.494480:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032196.494486:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.372880:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.372884:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032197.372890:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.941632:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.941635:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032197.941641:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.961052:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.961055:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032197.961061:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032197.973483:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032197.973486:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032197.973494:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.989822:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032197.989825:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032197.989831:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.005961:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.005964:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.005970:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.021200:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.021203:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032198.021209:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.037957:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.037960:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.037966:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.053355:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.053358:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032198.053364:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.070641:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032198.070644:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.070726:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.085225:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.085228:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.085234:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.120486:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.120489:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.120495:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.133073:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.133076:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.133082:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.152055:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.152068:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.152155:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.166507:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032198.166607:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032198.166624:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032207.935440:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
